legal_ref,pasal_ref,ayat_ref,Question
Peraturan Menteri Perhubungan Republik Indonesia Nomor 19 Tahun 2017,Pasal 6,ayat 1,Apa acuan dari penerapan pelayanan publik dilingkungan kementerian perhubungan?
Undang-Undang Republik Indonesia Nomor 16 Tahun 2006,Pasal 2,,"Apa asas penyelenggaraan penyuluhan pertanian, perikanan, kehutanan?"
Undang-Undang Republik Indonesia Nomor 30 Tahun 2014,Pasal 38,ayat 6,Apa bentuk keputusan yang mengakibatkan pembebanan keuangan negara?
Peraturan Pemerintah Republik Indonesia Nomor 26 Tahun 2015,Pasal 9,ayat 1,Apa dasar dalam menetapkan tarif biaya pendidikan dari ptn badan hukum?
Undang-Undang Republik Indonesia Nomor 30 Tahun 2014,Pasal 9,ayat 1,Apa dasar dari setiap keputusan yang dilakukan oleh pejabat pemerintahan?
Peraturan Pemerintah Republik Indonesia Nomor 15 Tahun 2015,Pasal 2,ayat 1,Apa fasilitas yang diberikan pada penyerahan bahan bakar minyak untuk kapal angkatan luar negeri?
Peraturan Menteri Ketenagakerjaan Republik Indonesia Nomor 5 Tahun 2017,Pasal 9,ayat 3,Apa format sop yang digunakan di kementerian ketenagakerjaan
Peraturan Menteri Pendayagunaan Aparatur Negara Dan Reformasi Birokrasi Republik Indonesia Nomor 14 Tahun 2017,Pasal 5,,Apa kegunaaan hasil survei kepuasan masyarakat terhadap penyelenggara pelayanan publik?
Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 91 Tahun 2017,Pasal 10,,Apa naskah dinas bidang kepegawaian yang bisa ditandatangani kepala bagian pengembangan karier?
Peraturan Menteri Keuangan Republik Indonesia Nomor 108 Tahun 2017,Pasal 9,ayat 1,Apa pedoman pelaksanaan likuidasi entitas akuntansi satker ptn?
Undang-Undang Republik Indonesia Nomor 16 Tahun 2006,Pasal 26,ayat 3,Apa pendekatan yang digunakan dalam melakukan penyuluhan?
Peraturan Mahkamah Agung Republik Indonesia Nomor 8 Tahun 2017,Pasal 13,,Apa saja alat bukti yang dapat diajukan untuk diperiksa di persidangan?
Peraturan Pemerintah Republik Indonesia Nomor 15 Tahun 2015,Pasal 2,ayat 2,Apa saja bahan bakar minyak yang diberikan fasilitas pajak pertambahan nilai tidak dipungut?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 91 Tahun 2014,Pasal 8,ayat 1,Apa saja dokumen angkutan hhbk?
Undang-Undang Republik Indonesia Nomor 12 Tahun 2012,Pasal 10,ayat 2,Apa saja rumpun ilmu pengetahuan dan teknologi?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 25 Tahun 2014,Pasal 8,,Apa saja unsur anggota panitia tata batas kawasan hutan?
